Recency,Frequency,Monetary,Cluster
49,4,2886.4,Cluster #0
269,1,218.15,Cluster #1
28,3,1253.26,Cluster #0
87,2,386.79999999999995,Cluster #1
21,1,335.63,Cluster #0
13,1,121.41,Cluster #0
8,8,681.02,Cluster #2
6,3,1100.1399999999999,Cluster #0
15,18,6842.74,Cluster #2
224,1,123.85,Cluster #1
268,1,269.1,Cluster #1
98,2,492.78,Cluster #0
203,2,1625.82,Cluster #0
15,9,4945.49,Cluster #2
2,6,3675.3,Cluster #2
25,2,468.21,Cluster #0
1,2,905.08,Cluster #0
49,1,396.0,Cluster #0
50,4,1379.94,Cluster #0
81,2,1357.69,Cluster #0
59,8,5075.84,Cluster #2
25,1,498.25,Cluster #0
230,1,325.3,Cluster #1
15,3,609.53,Cluster #0
107,1,128.9,Cluster #1
17,3,743.77,Cluster #0
212,2,73.28,Cluster #1
121,1,417.12,Cluster #1
25,4,1406.18,Cluster #0
41,1,316.48,Cluster #1
14,12,1843.87,Cluster #2
146,1,255.3,Cluster #1
99,3,513.0500000000001,Cluster #0
326,1,114.0,Cluster #1
323,1,732.28,Cluster #1
140,2,752.81,Cluster #0
2,5,499.33,Cluster #2
9,5,1873.35,Cluster #2
3,3,623.0,Cluster #0
10,1,535.4,Cluster #0
21,1,45.6,Cluster #1
3,1,203.7,Cluster #0
15,10,3098.38,Cluster #2
50,4,406.8,Cluster #0
316,1,45.0,Cluster #1
50,1,410.23,Cluster #0
3,4,2666.0,Cluster #2
142,2,1319.92,Cluster #0
2,5,2087.47,Cluster #2
321,1,162.29999999999998,Cluster #1
318,1,182.8,Cluster #1
30,4,1289.54,Cluster #0
16,6,1031.39,Cluster #2
34,8,1359.8,Cluster #2
275,1,639.86,Cluster #1
65,3,487.52,Cluster #0
6,21,9584.4,Cluster #2
1,29,7928.86,Cluster #2
42,13,4641.93,Cluster #2
16,5,1484.79,Cluster #2
20,6,2437.65,Cluster #2
363,1,71.14,Cluster #1
105,1,2770.04,Cluster #0
17,2,1020.21,Cluster #0
197,1,265.11,Cluster #1
50,4,678.2,Cluster #0
118,4,476.51,Cluster #0
62,2,447.62,Cluster #0
58,3,306.96000000000004,Cluster #0
20,3,676.71,Cluster #0
57,3,2882.71,Cluster #0
71,2,652.45,Cluster #0
11,1,201.0,Cluster #0
62,1,265.55,Cluster #1
14,7,1124.04,Cluster #2
7,8,5154.4,Cluster #2
283,1,417.52000000000004,Cluster #1
21,10,2117.96,Cluster #2
7,14,4615.32,Cluster #2
88,3,909.8199999999999,Cluster #0
20,13,2586.98,Cluster #2
1,5,3621.0299999999997,Cluster #2
98,1,273.86,Cluster #1
125,1,597.16,Cluster #1
143,2,774.03,Cluster #0
63,1,182.35,Cluster #1
57,1,230.60000000000002,Cluster #1
7,24,4182.92,Cluster #2
23,6,2108.19,Cluster #2
106,2,726.1,Cluster #0
8,3,521.05,Cluster #0
73,3,733.1700000000001,Cluster #0
363,1,371.8,Cluster #1
20,7,1550.1,Cluster #2
2,7,2461.52,Cluster #2
63,4,565.33,Cluster #0
105,1,360.71000000000004,Cluster #1
15,10,7116.69,Cluster #2
171,1,178.26000000000002,Cluster #1
226,1,276.85,Cluster #1
344,1,110.39999999999999,Cluster #1
307,2,375.07,Cluster #1
324,1,93.6,Cluster #1
363,1,110.4,Cluster #1
90,1,516.0,Cluster #1
55,1,344.8,Cluster #1
126,2,425.23,Cluster #1
48,4,4774.93,Cluster #2
14,10,2444.91,Cluster #2
1,188,20193.21,Cluster #2
14,4,2197.37,Cluster #2
120,1,184.98,Cluster #1
73,1,854.12,Cluster #0
14,6,1988.77,Cluster #2
269,2,61.62,Cluster #1
272,1,7.6,Cluster #1
78,1,50.879999999999995,Cluster #1
7,7,3194.0,Cluster #2
108,2,1468.59,Cluster #0
44,3,1279.09,Cluster #0
17,1,389.09,Cluster #0
361,1,320.08,Cluster #1
308,1,952.88,Cluster #1
49,6,5218.59,Cluster #2
230,1,869.4,Cluster #1
51,1,615.3199999999999,Cluster #0
9,5,952.14,Cluster #2
11,6,492.49,Cluster #0
29,8,2523.53,Cluster #2
55,2,594.54,Cluster #0
141,4,1603.1200000000001,Cluster #0
24,3,805.22,Cluster #0
7,1,497.07,Cluster #0
356,1,239.0,Cluster #1
1,3,356.26,Cluster #0
184,1,199.42000000000002,Cluster #1
248,1,329.59,Cluster #1
326,2,395.48,Cluster #1
45,2,795.51,Cluster #0
10,1,144.63,Cluster #0
357,1,206.13,Cluster #1
178,1,397.58,Cluster #1
28,3,445.7,Cluster #0
169,1,343.41,Cluster #1
253,2,416.55,Cluster #1
36,1,229.64000000000001,Cluster #1
139,2,687.66,Cluster #1
87,2,265.90000000000003,Cluster #1
273,1,126.03999999999999,Cluster #1
253,1,267.6,Cluster #1
36,3,713.27,Cluster #0
206,1,75.72,Cluster #1
62,2,743.28,Cluster #0
51,1,316.42,Cluster #1
21,6,1318.2,Cluster #2
24,2,318.7,Cluster #0
57,4,621.51,Cluster #0
328,1,28.5,Cluster #1
254,1,124.75,Cluster #1
24,2,366.53,Cluster #0
137,1,307.03000000000003,Cluster #1
274,1,201.08,Cluster #1
51,4,1622.6200000000001,Cluster #0
165,1,58.75,Cluster #1
25,2,586.48,Cluster #0
3,13,4453.53,Cluster #2
135,4,2726.77,Cluster #0
6,23,3228.08,Cluster #2
62,2,582.3100000000001,Cluster #0
151,7,1395.69,Cluster #0
21,2,325.96000000000004,Cluster #0
260,2,54.79,Cluster #1
14,1,668.14,Cluster #0
23,2,777.74,Cluster #0
88,1,108.28,Cluster #1
286,1,264.15000000000003,Cluster #1
126,5,1227.2,Cluster #0
70,3,1056.4,Cluster #0
364,1,38.1,Cluster #1
10,5,1764.58,Cluster #2
202,2,831.15,Cluster #1
44,1,109.2,Cluster #1
130,1,10.2,Cluster #1
18,2,1355.82,Cluster #0
275,1,344.92,Cluster #1
18,7,3664.77,Cluster #2
177,6,1534.71,Cluster #0
76,2,120.53999999999999,Cluster #1
318,2,507.12,Cluster #1
49,2,1100.82,Cluster #0
16,11,1370.81,Cluster #2
228,2,839.09,Cluster #1
36,3,220.66,Cluster #0
267,1,69.0,Cluster #1
1,2,995.4,Cluster #0
16,4,527.87,Cluster #0
80,1,107.25,Cluster #1
55,3,977.22,Cluster #0
59,2,1059.3600000000001,Cluster #0
206,2,187.92000000000002,Cluster #1
16,1,365.38,Cluster #0
22,1,188.14,Cluster #0
34,2,335.05,Cluster #0
196,2,100.50000000000001,Cluster #1
2,15,1162.35,Cluster #2
256,1,87.78,Cluster #1
10,2,351.73,Cluster #0
3,5,1108.02,Cluster #2
31,5,1022.43,Cluster #0
15,8,2297.02,Cluster #2
6,3,426.3,Cluster #0
7,4,939.57,Cluster #0
140,2,201.05,Cluster #1
130,4,1821.5,Cluster #0
8,5,888.31,Cluster #2
9,1,108.34,Cluster #0
1,37,13030.37,Cluster #2
153,1,377.3,Cluster #1
56,1,157.07,Cluster #1
80,4,644.2,Cluster #0
66,1,339.31,Cluster #1
27,5,1739.74,Cluster #2
303,1,70.95,Cluster #1
70,2,389.61,Cluster #0
59,2,48.160000000000004,Cluster #1
16,3,465.47,Cluster #0
18,5,1580.19,Cluster #2
9,3,911.9,Cluster #0
7,4,1233.1200000000001,Cluster #2
17,1,100.22,Cluster #1
326,1,81.36,Cluster #1
46,2,529.47,Cluster #0
123,3,505.0,Cluster #0
27,2,519.81,Cluster #0
280,1,264.25,Cluster #1
135,5,1269.59,Cluster #0
8,7,1892.3600000000001,Cluster #2
22,8,3639.92,Cluster #2
16,1,186.8,Cluster #0
165,5,683.78,Cluster #0
35,3,828.4300000000001,Cluster #0
1,1,192.45000000000002,Cluster #0
8,9,2892.6,Cluster #2
298,1,74.67,Cluster #1
1,8,3547.04,Cluster #2
105,1,145.04000000000002,Cluster #1
2,7,1399.41,Cluster #2
81,1,597.71,Cluster #1
1,1,147.68,Cluster #0
349,2,452.2,Cluster #1
104,1,126.0,Cluster #1
314,2,23.8,Cluster #1
2,76,5213.030000000001,Cluster #2
189,1,77.15,Cluster #1
203,1,303.6,Cluster #1
148,1,10.74,Cluster #1
21,2,372.21999999999997,Cluster #0
234,1,376.5,Cluster #1
10,1,97.5,Cluster #0
20,1,637.92,Cluster #0
65,2,392.45,Cluster #0
284,1,330.67,Cluster #1
13,8,1148.1,Cluster #2
23,3,351.0,Cluster #0
15,2,461.26,Cluster #0
15,4,414.76,Cluster #0
112,2,522.62,Cluster #1
14,4,880.09,Cluster #0
197,2,273.78,Cluster #1
251,2,382.16,Cluster #1
14,12,4818.99,Cluster #2
310,1,110.99999999999999,Cluster #1
143,2,89.05000000000001,Cluster #1
3,17,5139.96,Cluster #2
165,2,323.3,Cluster #1
48,1,11.52,Cluster #1
315,1,229.46999999999997,Cluster #1
364,1,50.550000000000004,Cluster #1
1,7,1431.15,Cluster #2
13,12,3953.3,Cluster #2
2,10,1499.03,Cluster #2
45,5,2648.93,Cluster #2
65,3,709.34,Cluster #0
8,28,6530.12,Cluster #2
17,8,1662.13,Cluster #2
56,2,439.86,Cluster #0
23,3,262.44,Cluster #0
14,2,613.4399999999999,Cluster #0
22,2,116.5,Cluster #0
3,2,561.88,Cluster #0
44,2,735.93,Cluster #0
349,1,190.55,Cluster #1
46,2,627.82,Cluster #0
65,2,349.20000000000005,Cluster #0
130,3,693.37,Cluster #0
72,3,891.46,Cluster #0
25,1,303.25,Cluster #0
265,1,139.7,Cluster #1
283,1,391.72,Cluster #1
91,1,305.28000000000003,Cluster #1
22,2,419.11,Cluster #0
23,10,2646.26,Cluster #2
6,4,1810.41,Cluster #2
56,2,433.68,Cluster #0
6,17,4707.73,Cluster #2
204,1,197.65,Cluster #1
70,3,1104.06,Cluster #0
16,3,261.45000000000005,Cluster #0
241,1,85.65,Cluster #1
245,1,243.93,Cluster #1
64,1,200.31,Cluster #1
183,1,65.69999999999999,Cluster #1
4,4,893.12,Cluster #0
365,1,138.41,Cluster #1
16,2,372.75,Cluster #0
74,1,91.61,Cluster #1
6,23,3197.54,Cluster #2
184,1,228.8,Cluster #1
258,1,177.15,Cluster #1
121,1,477.21,Cluster #1
282,3,516.09,Cluster #1
2,25,7271.150000000001,Cluster #2
13,4,190.10000000000002,Cluster #0
171,1,58.08,Cluster #1
3,11,17925.53,Cluster #2
118,8,1177.36,Cluster #2
67,1,158.44,Cluster #1
149,2,217.68,Cluster #1
3,77,33998.89,Cluster #2
11,12,3501.13,Cluster #2
20,1,281.08,Cluster #0
62,5,266.61,Cluster #0
267,8,3429.4700000000003,Cluster #2
197,2,106.2,Cluster #1
62,1,60.48,Cluster #1
24,10,4091.88,Cluster #2
1,24,9277.58,Cluster #2
226,1,65.5,Cluster #1
15,22,4576.0599999999995,Cluster #2
31,1,141.94,Cluster #1
38,3,393.71999999999997,Cluster #0
125,1,76.5,Cluster #1
36,4,1092.0,Cluster #0
364,1,95.3,Cluster #1
51,2,763.2,Cluster #0
23,7,971.22,Cluster #2
6,23,3161.74,Cluster #2
3,4,2029.06,Cluster #2
130,1,291.29,Cluster #1
13,8,840.7,Cluster #2
11,5,1125.96,Cluster #2
230,1,30.599999999999998,Cluster #1
261,1,260.36,Cluster #1
232,1,821.1,Cluster #1
81,3,2904.58,Cluster #0
36,7,1467.23,Cluster #2
69,1,259.17,Cluster #1
86,1,64.0,Cluster #1
15,3,604.3,Cluster #0
253,1,60.3,Cluster #1
265,2,79.95,Cluster #1
77,4,1392.14,Cluster #0
48,5,2408.51,Cluster #2
2,8,3553.89,Cluster #2
14,6,946.49,Cluster #2
8,7,2473.04,Cluster #2
100,3,349.92,Cluster #0
76,5,2260.53,Cluster #0
11,1,215.92,Cluster #0
324,1,47.2,Cluster #1
31,3,297.6,Cluster #0
18,1,228.91,Cluster #0
35,2,237.60000000000002,Cluster #0
21,11,2709.2200000000003,Cluster #2
6,4,1210.68,Cluster #2
287,1,773.27,Cluster #1
25,4,843.0600000000001,Cluster #0
41,4,1447.98,Cluster #0
86,4,1193.5,Cluster #0
42,3,933.23,Cluster #0
14,1,75.89999999999999,Cluster #1
305,1,95.75,Cluster #1
114,4,1156.15,Cluster #0
38,2,349.28,Cluster #0
275,1,349.6,Cluster #1
10,4,482.15999999999997,Cluster #0
28,4,1108.39,Cluster #0
55,2,355.1,Cluster #0
18,1,109.17,Cluster #1
13,3,261.51,Cluster #0
359,1,165.94,Cluster #1
8,3,2072.7400000000002,Cluster #0
38,1,348.78,Cluster #0
56,1,282.45,Cluster #1
18,11,4569.75,Cluster #2
37,1,121.18,Cluster #1
29,8,1040.17,Cluster #2
6,10,1429.11,Cluster #2
259,1,71.4,Cluster #1
31,3,1362.02,Cluster #0
328,1,154.02,Cluster #1
3,1,99.60000000000001,Cluster #0
10,2,167.28,Cluster #0
87,2,859.14,Cluster #0
53,1,100.92999999999999,Cluster #1
127,1,60.7,Cluster #1
3,4,1704.03,Cluster #2
2,6,3181.55,Cluster #2
10,17,2255.54,Cluster #2
13,3,607.27,Cluster #0
1,4,798.68,Cluster #2
7,2,250.26000000000002,Cluster #0
50,6,1075.8,Cluster #0
22,7,4798.16,Cluster #2
85,1,293.0,Cluster #1
2,3,483.42,Cluster #0
11,3,528.73,Cluster #0
48,5,1197.28,Cluster #0
259,1,10.5,Cluster #1
114,1,52.02,Cluster #1
119,1,56.76,Cluster #1
70,4,506.04,Cluster #0
232,2,570.71,Cluster #1
192,1,62.4,Cluster #1
52,2,1807.92,Cluster #0
265,1,85.51,Cluster #1
193,1,257.7,Cluster #1
217,1,123.15,Cluster #1
20,13,1753.28,Cluster #2
4,7,982.16,Cluster #2
66,2,477.2,Cluster #0
204,1,870.57,Cluster #1
16,2,592.33,Cluster #0
15,3,493.68,Cluster #0
253,1,292.12,Cluster #1
88,4,616.7,Cluster #0
104,3,270.40000000000003,Cluster #1
195,1,480.02000000000004,Cluster #1
84,1,94.79,Cluster #1
42,1,259.85,Cluster #1
10,6,844.31,Cluster #2
9,4,474.72,Cluster #0
116,2,434.21,Cluster #1
85,1,82.23,Cluster #1
148,2,380.15999999999997,Cluster #1
1,2,198.46,Cluster #0
3,3,509.48,Cluster #0
53,1,258.32,Cluster #1
53,1,82.32000000000001,Cluster #1
260,2,670.5,Cluster #1
255,1,132.29,Cluster #1
3,32,6395.45,Cluster #2
45,5,1247.52,Cluster #0
3,12,2290.61,Cluster #2
9,17,3478.9900000000002,Cluster #2
9,10,2847.0,Cluster #2
3,14,4148.31,Cluster #2
29,1,217.38,Cluster #0
23,2,205.66000000000003,Cluster #0
105,1,128.54,Cluster #1
55,2,462.98,Cluster #0
7,3,159.4,Cluster #0
32,1,459.86,Cluster #0
70,1,137.75,Cluster #1
114,3,739.85,Cluster #0
10,3,726.94,Cluster #0
51,2,93.66,Cluster #1
322,1,148.74,Cluster #1
15,4,2566.02,Cluster #2
147,1,338.41,Cluster #1
30,2,418.45,Cluster #0
181,2,726.39,Cluster #1
351,1,168.3,Cluster #1
129,1,53.4,Cluster #1
15,3,1420.07,Cluster #0
260,1,82.80000000000001,Cluster #1
161,1,371.89,Cluster #1
95,4,507.74,Cluster #0
343,1,244.85000000000002,Cluster #1
13,9,827.85,Cluster #2
112,1,15.0,Cluster #1
14,3,1092.43,Cluster #0
37,4,1183.7,Cluster #0
20,3,1015.73,Cluster #0
142,1,300.36,Cluster #1
14,5,1475.1200000000001,Cluster #2
55,2,509.97,Cluster #0
29,4,580.49,Cluster #0
58,6,1781.8300000000002,Cluster #2
29,1,229.66,Cluster #0
9,25,9167.210000000001,Cluster #2
69,4,1548.7,Cluster #0
78,1,259.04,Cluster #1
9,1,199.48000000000002,Cluster #0
13,3,355.3,Cluster #0
28,8,1036.95,Cluster #2
73,1,471.3,Cluster #1
30,8,2690.07,Cluster #2
308,1,235.68,Cluster #1
23,2,312.48,Cluster #0
84,3,961.38,Cluster #0
6,1,338.4,Cluster #0
74,3,3165.62,Cluster #0
69,1,752.8000000000001,Cluster #0
149,1,316.47,Cluster #1
192,1,664.42,Cluster #1
37,6,2161.56,Cluster #2
252,1,603.55,Cluster #1
169,1,290.93,Cluster #1
59,3,1716.32,Cluster #0
279,1,299.70000000000005,Cluster #1
62,1,148.79999999999998,Cluster #1
56,1,233.76,Cluster #1
2,1,197.32,Cluster #0
8,2,652.77,Cluster #0
58,1,323.94,Cluster #1
52,1,316.17999999999995,Cluster #1
63,1,684.91,Cluster #0
114,1,516.0,Cluster #1
72,1,548.59,Cluster #1
249,1,492.15,Cluster #1
260,1,304.71,Cluster #1
55,1,307.06,Cluster #1
1,4,2686.64,Cluster #2
9,2,834.89,Cluster #0
62,1,134.95999999999998,Cluster #1
25,2,1718.8700000000001,Cluster #0
248,2,430.18,Cluster #1
357,1,198.38000000000002,Cluster #1
363,1,604.75,Cluster #1
81,1,290.04,Cluster #1
52,3,2726.17,Cluster #0
80,1,607.1800000000001,Cluster #1
91,3,834.3100000000001,Cluster #0
18,3,521.36,Cluster #0
23,6,3045.75,Cluster #2
272,1,197.14000000000001,Cluster #1
22,7,2877.66,Cluster #2
321,1,403.07,Cluster #1
123,2,505.45,Cluster #1
3,3,700.66,Cluster #0
66,1,304.68,Cluster #1
45,7,1772.59,Cluster #2
177,1,251.28,Cluster #1
21,2,936.69,Cluster #0
64,4,1118.81,Cluster #0
184,1,383.57,Cluster #1
119,2,587.23,Cluster #1
9,1,30.0,Cluster #1
204,1,217.81,Cluster #1
66,3,363.351,Cluster #0
3,50,8979.66,Cluster #2
16,4,588.34,Cluster #0
99,1,203.60000000000002,Cluster #1
125,2,568.5,Cluster #1
35,2,576.5,Cluster #0
197,1,106.8,Cluster #1
3,18,4699.71,Cluster #2
55,1,221.06,Cluster #1
141,2,87.6,Cluster #1
32,2,1575.29,Cluster #0
56,1,2292.0,Cluster #0
100,3,1057.45,Cluster #0
2,9,2804.04,Cluster #2
11,3,445.34,Cluster #0
2,1,176.57,Cluster #0
2,4,816.69,Cluster #2
10,2,574.25,Cluster #0
59,2,814.8,Cluster #0
66,2,179.04000000000002,Cluster #1
16,6,1463.28,Cluster #2
6,7,2384.36,Cluster #2
247,1,273.27,Cluster #1
83,1,195.36,Cluster #1
15,3,1026.69,Cluster #0
8,6,3032.1800000000003,Cluster #2
15,1,291.88,Cluster #0
18,6,1272.48,Cluster #2
18,5,2627.85,Cluster #2
157,2,245.57999999999998,Cluster #1
16,2,660.19,Cluster #0
9,5,1180.1200000000001,Cluster #2
15,13,6812.05,Cluster #2
21,2,183.44,Cluster #0
30,3,329.8,Cluster #0
244,1,135.0,Cluster #1
50,1,606.73,Cluster #0
176,1,197.70000000000002,Cluster #1
2,2,871.8100000000001,Cluster #0
10,35,3563.87,Cluster #2
91,2,165.0,Cluster #1
13,2,1368.6,Cluster #0
52,2,326.96,Cluster #0
228,1,187.99,Cluster #1
183,4,1115.66,Cluster #0
170,2,697.67,Cluster #1
29,6,1249.8899999999999,Cluster #2
192,2,261.15,Cluster #1
37,5,1680.26,Cluster #2
224,1,184.64,Cluster #1
57,1,140.34,Cluster #1
233,1,202.5,Cluster #1
225,1,394.44,Cluster #1
70,3,999.55,Cluster #0
49,3,361.1,Cluster #0
9,13,6585.43,Cluster #2
97,3,175.44,Cluster #1
43,10,943.34,Cluster #2
128,3,729.24,Cluster #0
279,1,14.850000000000001,Cluster #1
303,1,296.1,Cluster #1
27,4,1403.43,Cluster #0
2,2,563.63,Cluster #0
274,2,348.05,Cluster #1
9,5,609.09,Cluster #0
15,3,1010.8,Cluster #0
279,1,844.72,Cluster #1
8,3,272.1,Cluster #0
63,1,192.95,Cluster #1
56,1,260.48,Cluster #1
64,4,3042.26,Cluster #0
308,2,379.45,Cluster #1
90,3,1592.13,Cluster #0
235,1,66.42,Cluster #1
44,4,595.78,Cluster #0
37,3,1262.08,Cluster #0
252,1,228.51000000000002,Cluster #1
118,1,132.6,Cluster #1
65,1,152.20000000000002,Cluster #1
64,4,833.82,Cluster #0
64,2,607.91,Cluster #0
51,3,1839.49,Cluster #0
77,1,567.72,Cluster #1
69,1,78.95,Cluster #1
50,6,1582.45,Cluster #2
2,1,279.93,Cluster #0
22,1,125.80000000000001,Cluster #1
25,5,2181.58,Cluster #2
32,5,580.94,Cluster #0
6,1,90.0,Cluster #0
25,7,1906.0,Cluster #2
70,2,206.06,Cluster #1
197,2,357.7,Cluster #1
25,1,210.31,Cluster #0
174,3,246.94,Cluster #1
24,23,4829.18,Cluster #2
1,5,1670.51,Cluster #2
35,5,699.45,Cluster #0
77,3,446.52,Cluster #0
31,2,221.26,Cluster #0
4,3,553.29,Cluster #0
88,2,512.84,Cluster #0
17,7,793.85,Cluster #2
311,1,53.550000000000004,Cluster #1
58,12,2227.55,Cluster #2
65,4,2210.34,Cluster #0
20,2,524.06,Cluster #0
15,3,451.18,Cluster #0
207,1,39.01,Cluster #1
73,3,1459.6100000000001,Cluster #0
76,2,375.13,Cluster #0
346,2,892.94,Cluster #1
11,2,240.22,Cluster #0
32,2,864.76,Cluster #0
165,1,175.0,Cluster #1
9,2,286.1,Cluster #0
235,1,211.64,Cluster #1
4,12,2017.27,Cluster #2
197,1,590.9300000000001,Cluster #1
42,2,238.11,Cluster #0
15,5,674.5699999999999,Cluster #0
2,17,1797.66,Cluster #2
