Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFM_Sum,Segment
16,5,1484.79,4,4,4,12,Champions
20,6,2437.65,3,4,4,11,Champions
363,1,71.14,1,1,1,3,Lost
105,1,2770.04,2,1,4,7,Potential Loyalist
17,2,1020.21,4,2,3,9,Loyal Customers
197,1,265.11,1,1,2,4,Lost
50,4,678.2,2,3,3,8,Potential Loyalist
118,4,476.51,2,3,3,8,Potential Loyalist
62,2,447.62,2,2,2,6,At Risk
58,3,306.96000000000004,2,3,2,7,Potential Loyalist
20,3,676.71,3,3,3,9,Loyal Customers
57,3,2882.71,2,3,4,9,Loyal Customers
71,2,652.45,2,2,3,7,Potential Loyalist
11,1,201.0,4,1,1,6,At Risk
62,1,265.55,2,1,2,5,At Risk
14,7,1124.04,4,4,4,12,Champions
7,8,5154.4,4,4,4,12,Champions
283,1,417.52000000000004,1,1,2,4,Lost
21,10,2117.96,3,4,4,11,Champions
7,14,4615.32,4,4,4,12,Champions
88,3,909.8199999999999,2,3,3,8,Potential Loyalist
20,13,2586.98,3,4,4,11,Champions
1,5,3621.0299999999997,4,4,4,12,Champions
98,1,273.86,2,1,2,5,At Risk
125,1,597.16,2,1,3,6,At Risk
143,2,774.03,2,2,3,7,Potential Loyalist
63,1,182.35,2,1,1,4,Lost
57,1,230.60000000000002,2,1,2,5,At Risk
7,24,4182.92,4,4,4,12,Champions
23,6,2108.19,3,4,4,11,Champions
106,2,726.1,2,2,3,7,Potential Loyalist
8,3,521.05,4,3,3,10,Loyal Customers
73,3,733.1700000000001,2,3,3,8,Potential Loyalist
363,1,371.8,1,1,2,4,Lost
20,7,1550.1,3,4,4,11,Champions
2,7,2461.52,4,4,4,12,Champions
63,4,565.33,2,3,3,8,Potential Loyalist
105,1,360.71000000000004,2,1,2,5,At Risk
15,10,7116.69,4,4,4,12,Champions
171,1,178.26000000000002,1,1,1,3,Lost
226,1,276.85,1,1,2,4,Lost
344,1,110.39999999999999,1,1,1,3,Lost
307,2,375.07,1,2,2,5,At Risk
324,1,93.6,1,1,1,3,Lost
363,1,110.4,1,1,1,3,Lost
90,1,516.0,2,1,3,6,At Risk
55,1,344.8,2,1,2,5,At Risk
126,2,425.23,2,2,2,6,At Risk
48,4,4774.93,3,3,4,10,Loyal Customers
14,10,2444.91,4,4,4,12,Champions
1,188,20193.21,4,4,4,12,Champions
14,4,2197.37,4,3,4,11,Champions
120,1,184.98,2,1,1,4,Lost
73,1,854.12,2,1,3,6,At Risk
14,6,1988.77,4,4,4,12,Champions
269,2,61.62,1,2,1,4,Lost
272,1,7.6,1,1,1,3,Lost
78,1,50.879999999999995,2,1,1,4,Lost
7,7,3194.0,4,4,4,12,Champions
108,2,1468.59,2,2,4,8,Potential Loyalist
44,3,1279.09,3,3,4,10,Loyal Customers
17,1,389.09,4,1,2,7,Potential Loyalist
361,1,320.08,1,1,2,4,Lost
308,1,952.88,1,1,3,5,At Risk
49,6,5218.59,3,4,4,11,Champions
230,1,869.4,1,1,3,5,At Risk
51,1,615.3199999999999,2,1,3,6,At Risk
9,5,952.14,4,4,3,11,Champions
11,6,492.49,4,4,3,11,Champions
29,8,2523.53,3,4,4,11,Champions
55,2,594.54,2,2,3,7,Potential Loyalist
141,4,1603.1200000000001,2,3,4,9,Loyal Customers
24,3,805.22,3,3,3,9,Loyal Customers
7,1,497.07,4,1,3,8,Potential Loyalist
356,1,239.0,1,1,2,4,Lost
1,3,356.26,4,3,2,9,Loyal Customers
184,1,199.42000000000002,1,1,1,3,Lost
248,1,329.59,1,1,2,4,Lost
326,2,395.48,1,2,2,5,At Risk
45,2,795.51,3,2,3,8,Potential Loyalist
10,1,144.63,4,1,1,6,At Risk
357,1,206.13,1,1,2,4,Lost
178,1,397.58,1,1,2,4,Lost
28,3,445.7,3,3,2,8,Potential Loyalist
169,1,343.41,1,1,2,4,Lost
253,2,416.55,1,2,2,5,At Risk
36,1,229.64000000000001,3,1,2,6,At Risk
139,2,687.66,2,2,3,7,Potential Loyalist
87,2,265.90000000000003,2,2,2,6,At Risk
273,1,126.03999999999999,1,1,1,3,Lost
253,1,267.6,1,1,2,4,Lost
36,3,713.27,3,3,3,9,Loyal Customers
206,1,75.72,1,1,1,3,Lost
62,2,743.28,2,2,3,7,Potential Loyalist
51,1,316.42,2,1,2,5,At Risk
21,6,1318.2,3,4,4,11,Champions
24,2,318.7,3,2,2,7,Potential Loyalist
57,4,621.51,2,3,3,8,Potential Loyalist
328,1,28.5,1,1,1,3,Lost
254,1,124.75,1,1,1,3,Lost
24,2,366.53,3,2,2,7,Potential Loyalist
137,1,307.03000000000003,2,1,2,5,At Risk
274,1,201.08,1,1,1,3,Lost
51,4,1622.6200000000001,2,3,4,9,Loyal Customers
165,1,58.75,1,1,1,3,Lost
25,2,586.48,3,2,3,8,Potential Loyalist
3,13,4453.53,4,4,4,12,Champions
135,4,2726.77,2,3,4,9,Loyal Customers
6,23,3228.08,4,4,4,12,Champions
62,2,582.3100000000001,2,2,3,7,Potential Loyalist
151,7,1395.69,1,4,4,9,Loyal Customers
21,2,325.96000000000004,3,2,2,7,Potential Loyalist
260,2,54.79,1,2,1,4,Lost
14,1,668.14,4,1,3,8,Potential Loyalist
23,2,777.74,3,2,3,8,Potential Loyalist
88,1,108.28,2,1,1,4,Lost
286,1,264.15000000000003,1,1,2,4,Lost
126,5,1227.2,2,4,4,10,Loyal Customers
70,3,1056.4,2,3,3,8,Potential Loyalist
364,1,38.1,1,1,1,3,Lost
10,5,1764.58,4,4,4,12,Champions
202,2,831.15,1,2,3,6,At Risk
44,1,109.2,3,1,1,5,At Risk
130,1,10.2,2,1,1,4,Lost
18,2,1355.82,3,2,4,9,Loyal Customers
275,1,344.92,1,1,2,4,Lost
18,7,3664.77,3,4,4,11,Champions
177,6,1534.71,1,4,4,9,Loyal Customers
76,2,120.53999999999999,2,2,1,5,At Risk
318,2,507.12,1,2,3,6,At Risk
49,2,1100.82,3,2,3,8,Potential Loyalist
16,11,1370.81,4,4,4,12,Champions
228,2,839.09,1,2,3,6,At Risk
36,3,220.66,3,3,2,8,Potential Loyalist
267,1,69.0,1,1,1,3,Lost
1,2,995.4,4,2,3,9,Loyal Customers
16,4,527.87,4,3,3,10,Loyal Customers
80,1,107.25,2,1,1,4,Lost
55,3,977.22,2,3,3,8,Potential Loyalist
59,2,1059.3600000000001,2,2,3,7,Potential Loyalist
206,2,187.92000000000002,1,2,1,4,Lost
16,1,365.38,4,1,2,7,Potential Loyalist
22,1,188.14,3,1,1,5,At Risk
34,2,335.05,3,2,2,7,Potential Loyalist
196,2,100.50000000000001,1,2,1,4,Lost
2,15,1162.35,4,4,4,12,Champions
256,1,87.78,1,1,1,3,Lost
10,2,351.73,4,2,2,8,Potential Loyalist
3,5,1108.02,4,4,4,12,Champions
31,5,1022.43,3,4,3,10,Loyal Customers
15,8,2297.02,4,4,4,12,Champions
6,3,426.3,4,3,2,9,Loyal Customers
7,4,939.57,4,3,3,10,Loyal Customers
140,2,201.05,2,2,1,5,At Risk
130,4,1821.5,2,3,4,9,Loyal Customers
8,5,888.31,4,4,3,11,Champions
9,1,108.34,4,1,1,6,At Risk
1,37,13030.37,4,4,4,12,Champions
153,1,377.3,1,1,2,4,Lost
56,1,157.07,2,1,1,4,Lost
80,4,644.2,2,3,3,8,Potential Loyalist
66,1,339.31,2,1,2,5,At Risk
27,5,1739.74,3,4,4,11,Champions
303,1,70.95,1,1,1,3,Lost
70,2,389.61,2,2,2,6,At Risk
59,2,48.160000000000004,2,2,1,5,At Risk
16,3,465.47,4,3,3,10,Loyal Customers
18,5,1580.19,3,4,4,11,Champions
9,3,911.9,4,3,3,10,Loyal Customers
7,4,1233.1200000000001,4,3,4,11,Champions
17,1,100.22,4,1,1,6,At Risk
326,1,81.36,1,1,1,3,Lost
46,2,529.47,3,2,3,8,Potential Loyalist
123,3,505.0,2,3,3,8,Potential Loyalist
27,2,519.81,3,2,3,8,Potential Loyalist
280,1,264.25,1,1,2,4,Lost
135,5,1269.59,2,4,4,10,Loyal Customers
8,7,1892.3600000000001,4,4,4,12,Champions
22,8,3639.92,3,4,4,11,Champions
16,1,186.8,4,1,1,6,At Risk
165,5,683.78,1,4,3,8,Potential Loyalist
35,3,828.4300000000001,3,3,3,9,Loyal Customers
1,1,192.45000000000002,4,1,1,6,At Risk
8,9,2892.6,4,4,4,12,Champions
298,1,74.67,1,1,1,3,Lost
1,8,3547.04,4,4,4,12,Champions
105,1,145.04000000000002,2,1,1,4,Lost
2,7,1399.41,4,4,4,12,Champions
81,1,597.71,2,1,3,6,At Risk
1,1,147.68,4,1,1,6,At Risk
349,2,452.2,1,2,2,5,At Risk
104,1,126.0,2,1,1,4,Lost
314,2,23.8,1,2,1,4,Lost
2,76,5213.030000000001,4,4,4,12,Champions
189,1,77.15,1,1,1,3,Lost
203,1,303.6,1,1,2,4,Lost
148,1,10.74,1,1,1,3,Lost
21,2,372.21999999999997,3,2,2,7,Potential Loyalist
234,1,376.5,1,1,2,4,Lost
10,1,97.5,4,1,1,6,At Risk
20,1,637.92,3,1,3,7,Potential Loyalist
65,2,392.45,2,2,2,6,At Risk
284,1,330.67,1,1,2,4,Lost
13,8,1148.1,4,4,4,12,Champions
23,3,351.0,3,3,2,8,Potential Loyalist
15,2,461.26,4,2,3,9,Loyal Customers
15,4,414.76,4,3,2,9,Loyal Customers
112,2,522.62,2,2,3,7,Potential Loyalist
14,4,880.09,4,3,3,10,Loyal Customers
197,2,273.78,1,2,2,5,At Risk
251,2,382.16,1,2,2,5,At Risk
14,12,4818.99,4,4,4,12,Champions
310,1,110.99999999999999,1,1,1,3,Lost
143,2,89.05000000000001,2,2,1,5,At Risk
3,17,5139.96,4,4,4,12,Champions
165,2,323.3,1,2,2,5,At Risk
48,1,11.52,3,1,1,5,At Risk
315,1,229.46999999999997,1,1,2,4,Lost
364,1,50.550000000000004,1,1,1,3,Lost
1,7,1431.15,4,4,4,12,Champions
13,12,3953.3,4,4,4,12,Champions
2,10,1499.03,4,4,4,12,Champions
45,5,2648.93,3,4,4,11,Champions
65,3,709.34,2,3,3,8,Potential Loyalist
8,28,6530.12,4,4,4,12,Champions
17,8,1662.13,4,4,4,12,Champions
56,2,439.86,2,2,2,6,At Risk
23,3,262.44,3,3,2,8,Potential Loyalist
14,2,613.4399999999999,4,2,3,9,Loyal Customers
22,2,116.5,3,2,1,6,At Risk
3,2,561.88,4,2,3,9,Loyal Customers
44,2,735.93,3,2,3,8,Potential Loyalist
349,1,190.55,1,1,1,3,Lost
46,2,627.82,3,2,3,8,Potential Loyalist
65,2,349.20000000000005,2,2,2,6,At Risk
130,3,693.37,2,3,3,8,Potential Loyalist
72,3,891.46,2,3,3,8,Potential Loyalist
25,1,303.25,3,1,2,6,At Risk
265,1,139.7,1,1,1,3,Lost
283,1,391.72,1,1,2,4,Lost
91,1,305.28000000000003,2,1,2,5,At Risk
22,2,419.11,3,2,2,7,Potential Loyalist
23,10,2646.26,3,4,4,11,Champions
6,4,1810.41,4,3,4,11,Champions
56,2,433.68,2,2,2,6,At Risk
6,17,4707.73,4,4,4,12,Champions
204,1,197.65,1,1,1,3,Lost
70,3,1104.06,2,3,3,8,Potential Loyalist
16,3,261.45000000000005,4,3,2,9,Loyal Customers
241,1,85.65,1,1,1,3,Lost
245,1,243.93,1,1,2,4,Lost
64,1,200.31,2,1,1,4,Lost
183,1,65.69999999999999,1,1,1,3,Lost
4,4,893.12,4,3,3,10,Loyal Customers
365,1,138.41,1,1,1,3,Lost
16,2,372.75,4,2,2,8,Potential Loyalist
74,1,91.61,2,1,1,4,Lost
6,23,3197.54,4,4,4,12,Champions
184,1,228.8,1,1,2,4,Lost
258,1,177.15,1,1,1,3,Lost
121,1,477.21,2,1,3,6,At Risk
282,3,516.09,1,3,3,7,Potential Loyalist
2,25,7271.150000000001,4,4,4,12,Champions
13,4,190.10000000000002,4,3,1,8,Potential Loyalist
171,1,58.08,1,1,1,3,Lost
3,11,17925.53,4,4,4,12,Champions
118,8,1177.36,2,4,4,10,Loyal Customers
67,1,158.44,2,1,1,4,Lost
149,2,217.68,1,2,2,5,At Risk
3,77,33998.89,4,4,4,12,Champions
11,12,3501.13,4,4,4,12,Champions
20,1,281.08,3,1,2,6,At Risk
62,5,266.61,2,4,2,8,Potential Loyalist
267,8,3429.4700000000003,1,4,4,9,Loyal Customers
197,2,106.2,1,2,1,4,Lost
62,1,60.48,2,1,1,4,Lost
24,10,4091.88,3,4,4,11,Champions
1,24,9277.58,4,4,4,12,Champions
226,1,65.5,1,1,1,3,Lost
15,22,4576.0599999999995,4,4,4,12,Champions
31,1,141.94,3,1,1,5,At Risk
38,3,393.71999999999997,3,3,2,8,Potential Loyalist
125,1,76.5,2,1,1,4,Lost
36,4,1092.0,3,3,3,9,Loyal Customers
364,1,95.3,1,1,1,3,Lost
51,2,763.2,2,2,3,7,Potential Loyalist
23,7,971.22,3,4,3,10,Loyal Customers
6,23,3161.74,4,4,4,12,Champions
3,4,2029.06,4,3,4,11,Champions
130,1,291.29,2,1,2,5,At Risk
13,8,840.7,4,4,3,11,Champions
11,5,1125.96,4,4,4,12,Champions
230,1,30.599999999999998,1,1,1,3,Lost
261,1,260.36,1,1,2,4,Lost
232,1,821.1,1,1,3,5,At Risk
81,3,2904.58,2,3,4,9,Loyal Customers
36,7,1467.23,3,4,4,11,Champions
69,1,259.17,2,1,2,5,At Risk
86,1,64.0,2,1,1,4,Lost
15,3,604.3,4,3,3,10,Loyal Customers
253,1,60.3,1,1,1,3,Lost
265,2,79.95,1,2,1,4,Lost
77,4,1392.14,2,3,4,9,Loyal Customers
48,5,2408.51,3,4,4,11,Champions
2,8,3553.89,4,4,4,12,Champions
14,6,946.49,4,4,3,11,Champions
8,7,2473.04,4,4,4,12,Champions
100,3,349.92,2,3,2,7,Potential Loyalist
76,5,2260.53,2,4,4,10,Loyal Customers
11,1,215.92,4,1,2,7,Potential Loyalist
324,1,47.2,1,1,1,3,Lost
31,3,297.6,3,3,2,8,Potential Loyalist
18,1,228.91,3,1,2,6,At Risk
35,2,237.60000000000002,3,2,2,7,Potential Loyalist
21,11,2709.2200000000003,3,4,4,11,Champions
6,4,1210.68,4,3,4,11,Champions
287,1,773.27,1,1,3,5,At Risk
25,4,843.0600000000001,3,3,3,9,Loyal Customers
41,4,1447.98,3,3,4,10,Loyal Customers
86,4,1193.5,2,3,4,9,Loyal Customers
42,3,933.23,3,3,3,9,Loyal Customers
14,1,75.89999999999999,4,1,1,6,At Risk
305,1,95.75,1,1,1,3,Lost
114,4,1156.15,2,3,4,9,Loyal Customers
38,2,349.28,3,2,2,7,Potential Loyalist
275,1,349.6,1,1,2,4,Lost
10,4,482.15999999999997,4,3,3,10,Loyal Customers
28,4,1108.39,3,3,4,10,Loyal Customers
55,2,355.1,2,2,2,6,At Risk
18,1,109.17,3,1,1,5,At Risk
13,3,261.51,4,3,2,9,Loyal Customers
359,1,165.94,1,1,1,3,Lost
8,3,2072.7400000000002,4,3,4,11,Champions
38,1,348.78,3,1,2,6,At Risk
56,1,282.45,2,1,2,5,At Risk
18,11,4569.75,3,4,4,11,Champions
37,1,121.18,3,1,1,5,At Risk
29,8,1040.17,3,4,3,10,Loyal Customers
6,10,1429.11,4,4,4,12,Champions
259,1,71.4,1,1,1,3,Lost
31,3,1362.02,3,3,4,10,Loyal Customers
328,1,154.02,1,1,1,3,Lost
3,1,99.60000000000001,4,1,1,6,At Risk
10,2,167.28,4,2,1,7,Potential Loyalist
87,2,859.14,2,2,3,7,Potential Loyalist
53,1,100.92999999999999,2,1,1,4,Lost
